Nome do Autor1;Nome do Autor2;Ano;Título da Produção;Subtipo da Produção;Linha de Pesquisa;Categoria
JOSE CLAUDIO ROCHA;JOSE CLAUDIO ROCHA;2014;PUBLIC ADMINISTRATION AND APPROACHES BASED ON HUMAN RIGHTS A STUDY ABOUT EDUCATION IN HUMAN RIGHTS APPLIED TO TRANSITIONAL JUSTICE AND THE RESOLUTION OF INTERNATIONAL CONFLICTS;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
MARCUS FERNANDES DA SILVA;MARCUS FERNANDES DA SILVA;2014;QUANTIFICANDO A INFLUÊNCIA DO MERCADO DE CÂMBIO NOS PREÇOS DO MILHO E DA SOJA NO MUNICÍPIO DE BARREIRAS;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
ANA CLAUDIA ROZO SANDOVAL;ANA CLAUDIA ROZO SANDOVAL;2014;QUÉ DICEN LAS INVESTIGACIONES EN IBEROAMÉRICA SOBRE EDUCACIÓN VIRTUAL;LIVRO;;Discente
JOSE LUIS MICHINEL MACHADO;JÚLIO CÉSAR LEAL PEREIRA;2014;QUEREMOS SER EUROPA UN ANÁLISIS DE DISCURSO A PARTIR DE PINTADAS EN EL METRO DE MADRID.;ARTIGO EM PERIÓDICO;;Docente
"ZULEIDE PAIVA DA SILVA;ZULEIDE PAIVA DA SILVA;2014;RASTREANDO O FEMININO ROPENDO SILÊNCIOS ""QUEIXAS"" E ""CENAS"" DE VIOLÊNCIA CONTRA A MULHER EM CONCEIÇÃO DO COITÉ-BA (1980-1990);LIVRO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente"
SONIA MARIA DA CONCEICAO PINTO;SONIA MARIA DA CONCEICAO PINTO;2014;RECURSOS EDUCACIONAIS ABERTOS E REDES SOCIAIS. IN ALEXANDRA OKADA;LIVRO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
LELIANA SANTOS DE SOUSA;LELIANA SANTOS DE SOUSA;2014;REDE TRANSDISCIPLINAR DE PESQUISA EDUCAÇÃO E DESENVOLVIMENTO REGIONAL;TRABALHO EM ANAIS;;Docente
HERNANE BORGES DE BARROS PEREIRA;TEREZA KELLY GOMES CARNEIRO;2014;REDES DE AFINIDADE COMO ESTRATÉGIA DE GESTÃO E DIFUSÃO DO CONHECIMENTO;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
JOSE CLAUDIO ROCHA;JOSE CLAUDIO ROCHA;2014;REFLEXÃO;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
JOSE LAMARTINE DE ANDRADE LIMA NETO;VALTER LUIS DANTAS ORNELLAS;2014;REFLEXÕES ACERCA DA REPRESENTAÇÃO DO CONHECIMENTO ATRAVÉS DE MAPAS CONCEITUAIS E REDES SEMÂNTICAS APLICADOS A INVESTIGAÇÃO SOBRE A TEORIA FUNDAMENTADA EM DADOS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
ROBERTO SIDNEI ALVES MACEDO;ROBERTO SIDNEI ALVES MACEDO;2014;REFLEXÕES SOBRE A EXTERIORIZAÇÃO DA EXPERIÊNCIA FORMATIVA VIA DIÁRIOS ONLINE EM CONTEXTOS MULTIRREFERENCIAIS DE PESQUISA FORMAÇÃO;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
RENELSON RIBEIRO SAMPAIO;RENELSON RIBEIRO SAMPAIO;2014;REFLEXÕES SOBRE AS COMPETÊNCIAS DOS NÚCLEOS DE INOVAÇÃO TECNOLÓGICA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
GUSTAVO BITTENCOURT MACHADO;GUSTAVO BITTENCOURT MACHADO;2014;RENDIMENTOS E ESTRATÉGIAS DOS CAPRINOCULTORES DE LEITE NO SEMIÁRIDO DA BAHIA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
CLEIDE TAVARES BITTENCOURT;IVAN DOS REIS CARDOSO;2014;REPRESENTAÇÃO GRÁFICA NA GEOGRAFIA A MODELAGEM DOCONHECIMENTO DO MAPA CONCEITUAL À REDE SEMÂNTICA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
CLEIDE TAVARES BITTENCOURT;JOSE CLAUDIO ROCHA;2014;REPRESENTAÇÃO GRÁFICA NA GEOGRAFIA A MODELAGEM DOCONHECIMENTO DO MAPA CONCEITUAL À REDE SEMÂNTICA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
IVAN DOS REIS CARDOSO;JOSE CLAUDIO ROCHA;2014;REPRESENTAÇÃO GRÁFICA NA GEOGRAFIA A MODELAGEM DOCONHECIMENTO DO MAPA CONCEITUAL À REDE SEMÂNTICA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
MARIA DE FATIMA HENRIQUE CAMPOS;MARIA DE FATIMA HENRIQUE CAMPOS;2014;REPRESENTAÇÕES DE PAISAGENS E MEMORIAS DOS NATURALISTAS WILLIAM JOHN BURCHELL GEORGE GARDNER E AUGUSTE MARIE FRANÇOIS GLAZIOU;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
IVAN DOS REIS CARDOSO;JOSE CLAUDIO ROCHA;2014;REPRESENTAÇÕES GRÁFICAS NA GEOGRAFIA A MODELAGEM DO CONHECIMENTO DO MAPA CONCEITUAL A REDE SEMANTICA;TRABALHO EM ANAIS;;Discente
CLEIDE TAVARES BITTENCOURT;IVAN DOS REIS CARDOSO;2014;REPRESENTAÇÕES GRÁFICAS NA GEOGRAFIA A MODELAGEM DO CONHECIMENTO DO MAPA CONCEITUAL À REDE SEMÂNTICA;LIVRO;;Discente
CLEIDE TAVARES BITTENCOURT;JOSE CLAUDIO ROCHA;2014;REPRESENTAÇÕES GRÁFICAS NA GEOGRAFIA A MODELAGEM DO CONHECIMENTO DO MAPA CONCEITUAL À REDE SEMÂNTICA;LIVRO;;Discente
IVAN DOS REIS CARDOSO;JOSE CLAUDIO ROCHA;2014;REPRESENTAÇÕES GRÁFICAS NA GEOGRAFIA A MODELAGEM DO CONHECIMENTO DO MAPA CONCEITUAL À REDE SEMÂNTICA;LIVRO;;Discente
ANA MARIA FERREIRA MENEZES;ANA MARIA FERREIRA MENEZES;2014;REPÚBLICA JUVENIL ALTERNATIVA COMO ESPAÇO DE EMPODERAMENTO NO MUNICÍPIO DE SALVADOR - BA;ARTIGO EM PERIÓDICO;;Docente
CARLA RENATA SANTOS DOS SANTOS;LELIANA SANTOS DE SOUSA;2014;SABERES PRÁTICAS E SUSTENTABILIDADE  INDIGENAS AFRO-BRASILEIRAS TECNOLOGIAS SOCIAIS;LIVRO;;Discente
CARLA RENATA SANTOS DOS SANTOS;PATRICIA CARLA SMITH GALVAO;2014;SABERES PRÁTICAS E SUSTENTABILIDADE  INDIGENAS AFRO-BRASILEIRAS TECNOLOGIAS SOCIAIS;LIVRO;;Discente
LELIANA SANTOS DE SOUSA;PATRICIA CARLA SMITH GALVAO;2014;SABERES PRÁTICAS E SUSTENTABILIDADE  INDIGENAS AFRO-BRASILEIRAS TECNOLOGIAS SOCIAIS;LIVRO;;Discente
CARLA RENATA SANTOS DOS SANTOS;LELIANA SANTOS DE SOUSA;2014;SABERES PRÁTICAS E SUSTENTABILIDADE  INDIGENAS AFRO-BRASILEIRAS TECNOLOGIAS SOCIAIS- APRESENTAÇÃO;LIVRO;;Discente
CARLA RENATA SANTOS DOS SANTOS;PATRICIA CARLA SMITH GALVAO;2014;SABERES PRÁTICAS E SUSTENTABILIDADE  INDIGENAS AFRO-BRASILEIRAS TECNOLOGIAS SOCIAIS- APRESENTAÇÃO;LIVRO;;Discente
LELIANA SANTOS DE SOUSA;PATRICIA CARLA SMITH GALVAO;2014;SABERES PRÁTICAS E SUSTENTABILIDADE  INDIGENAS AFRO-BRASILEIRAS TECNOLOGIAS SOCIAIS- APRESENTAÇÃO;LIVRO;;Discente
ROBERTO SIDNEI ALVES MACEDO;ROBERTO SIDNEI ALVES MACEDO;2014;SAERENÇA EM PERSPECTIVABERES IMPLICADOS SABERES QUE FORMAM A DIFERENÇA EM PERSPECTIVA;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
ALESSANDRO MALPASSO;MARIA DE FATIMA HENRIQUE CAMPOS;2014;SANTERIA CUBANA SIMBOLISMO PRODUÇÃO E GESTÃO CULTURAL;TRABALHO EM ANAIS;;Discente
Amilcar Baiardi;FABIHANA SOUZA MENDES;2014;SCIENTIFIC COSMOPOLITANISM AND LOCAL CULTURES REACTIONS TO SYMBOLS ICONS AND ADVANCEMENTS OF SCIENCE IN THE THE RECONCAVO BAHIA BRAZIL;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Sem Categoria
MARCELO ALBANO MORET SIMOES GONCALVES;MARCELO ALBANO MORET SIMOES GONCALVES;2014;SELF-AFFINITY AND NONEXTENSIVITY OF SUNSPOTS;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
JOSE GARCIA VIVAS MIRANDA;MARCELO ALBANO MORET SIMOES GONCALVES;2014;SELF-ORGANIZED CRITICAL PHENOMENON AS A Q-EXPONENTIAL DECAY  AVALANCHE EPIDEMIOLOGY OF DENGUE;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
RENELSON RIBEIRO SAMPAIO;RENELSON RIBEIRO SAMPAIO;2014;SIMULAÇÃO UTILIZANDO DINÂMICA DE SISTEMAS ESTUDO DE CASO DA AMPLIAÇÃO DO COMPLEXO SALVADOR PARA  RESOLUÇÃO DA SUPERPOPULAÇÃO CARCERÁRIA.;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
JOSEMAR RODRIGUES DE SOUZA;Oberdan R. Pinheiro;2014;SIMULADOR DE CADEIRA DE RODAS INTELIGENTE PARA PESSOAS COM MOBILIDADE REDUZIDA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
DJANE SANTIAGO DE JESUS;JORGE LUÍS OLIVEIRA SANTOS;2014;SISTEMA DE ANALISE EM FLUXO COM DETECÇÃO POR WEBCAM NA DETERMINAÇÃO DE NITRITO E NITRATO EM AMOSTRAS DE ÁGUA SUBTERRÂNEA.;TRABALHO EM ANAIS;;Docente
DJANE SANTIAGO DE JESUS;OLDAIR DONIZETI LEITE;2014;SISTEMA DE ANALISE EM FLUXO COM DETECÇÃO POR WEBCAM NA DETERMINAÇÃO DE NITRITO E NITRATO EM AMOSTRAS DE ÁGUA SUBTERRÂNEA.;TRABALHO EM ANAIS;;Docente
JORGE LUÍS OLIVEIRA SANTOS;OLDAIR DONIZETI LEITE;2014;SISTEMA DE ANALISE EM FLUXO COM DETECÇÃO POR WEBCAM NA DETERMINAÇÃO DE NITRITO E NITRATO EM AMOSTRAS DE ÁGUA SUBTERRÂNEA.;TRABALHO EM ANAIS;;Docente
JOSE WELLINGTON MARINHO DE ARAGAO;MARCIA DE FREITAS CORDEIRO;2014;SOB A PELE DAS PALAVRAS O DITO E O NÃO DITO EM PRODUÇÕES TEXTUAIS DO CURSO DE ESPECIALIZAÇÃO EM GESTÃO ESCOLAR (UFBA);LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
ANA GABRIELA PIO PEREIRA;SUELY ALDIR MESSEDER;2014;SOCIOPOÉTICA - REVISTA DO PROGRAMA DE PÓS-GRADUAÇÃO EM LITERATURA E INTERCULTURALIDADE;ARTIGO EM JORNAL OU REVISTA;;Participante Externo
ROBERTO SIDNEI ALVES MACEDO;ROBERTO SIDNEI ALVES MACEDO;2014;SONHO VISUALIDADE SENTIDO E A FORMAÇÃO COMO EXPERIÊNCIA IRREDUTÍVEL INSPIRAÇÕES A PARTIR DA OBRA DE AKIRA KUROSAWA;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
ELIAS RAMOS DE SOUZA;ELIAS RAMOS DE SOUZA;2014;SOURING CONTROL IN FLUID SAMPLES OF OIL INDUSTRY USING A MULTIPLE LIGAND SIMULTANEOUS DOCKING (MLSD) STRATEGY;ARTIGO EM PERIÓDICO;;Docente
JOSE GARCIA VIVAS MIRANDA;JOSE GARCIA VIVAS MIRANDA;2014;SPATIAL VARIABILITY STRUCTURE OF SOIL CO2 EMISSION AND SOIL ATTRIBUTES IN A SUGARCANE AREA;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
JOSE GARCIA VIVAS MIRANDA;MARCELO ALBANO MORET SIMOES GONCALVES;2014;SPATIO-TEMPORAL CORRELATION NETWORKS OF DENGUE IN THE STATE OF BAHIA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
Arthur Henrique dos Santos;JOSE CLAUDIO ROCHA;2014;SUPER SOFIA;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Sem Categoria
MARCIA FIGUEREDO D SOUZA;MARCIA FIGUEREDO D SOUZA;2014;TAXONOMIA DO DARK TRIAD REVELAÇÕES DA REDE CIENTÍFICA NO MEIO ORGANIZACIONAL;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
JOSEMAR RODRIGUES DE SOUZA;Marco Antonio Costa Simôes;2014;TEAM DESCRIPTION PAPER. IN ROBOCUP 2014;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
FRANCISCO JOSÉ ARAGÃO PEDROZA CUNHA;HERNANE BORGES DE BARROS PEREIRA;2014;TÉCNICAS DE GERENCIAMENTO DE INFORMAÇÕES EM UMA REDE DE HOSPITAIS;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Sem Categoria
FRANCISCO JOSÉ ARAGÃO PEDROZA CUNHA;NUBIA MOURA RIBEIRO;2014;TÉCNICAS DE GERENCIAMENTO DE INFORMAÇÕES EM UMA REDE DE HOSPITAIS;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Sem Categoria
HERNANE BORGES DE BARROS PEREIRA;NUBIA MOURA RIBEIRO;2014;TÉCNICAS DE GERENCIAMENTO DE INFORMAÇÕES EM UMA REDE DE HOSPITAIS;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Sem Categoria
DANTE AUGUSTO GALEFFI;DANTE AUGUSTO GALEFFI;2014;TECNOLOGIAS DE GESTÃO E AVALIAÇÃO DE SISTEMAS DE ENSINO O QUE FAZER QUANDO OS DESAFIOS DA JUVENTUDE CONTEMPORÂNEA RECLAMAM MUDANÇAS RADICAIS NO SISTEMA DE ENSINO?;LIVRO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
DANTE AUGUSTO GALEFFI;JAVIER COLLADO RUANO;2014;THE CONSTELLATION OF TWINNED NGOS- SCHOOLS A NEW TRANSDEMOCRATIC HORIZON IN THE GLOBAL CITIZENSHIP EDUCATION PROPOSED BY UNESCO FOR THE POST-2015 SUSTAINABLE DEVELOPMENT AGENDA (ENG);ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
DANTE AUGUSTO GALEFFI;ROBERTO LEON INACIO PONCZEK;2014;THE CONSTELLATION OF TWINNED NGOS- SCHOOLS A NEW TRANSDEMOCRATIC HORIZON IN THE GLOBAL CITIZENSHIP EDUCATION PROPOSED BY UNESCO FOR THE POST-2015 SUSTAINABLE DEVELOPMENT AGENDA (ENG);ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
JAVIER COLLADO RUANO;ROBERTO LEON INACIO PONCZEK;2014;THE CONSTELLATION OF TWINNED NGOS- SCHOOLS A NEW TRANSDEMOCRATIC HORIZON IN THE GLOBAL CITIZENSHIP EDUCATION PROPOSED BY UNESCO FOR THE POST-2015 SUSTAINABLE DEVELOPMENT AGENDA (ENG);ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
DANTE AUGUSTO GALEFFI;JAVIER COLLADO RUANO;2014;THE COSMODERNITY PARADIGMAN EMERGING PERSPECTIVE FOR THE GLOBAL CITIZENSHIP EDUCATION PROPOSED BY UNESCO;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
DANTE AUGUSTO GALEFFI;ROBERTO LEON INACIO PONCZEK;2014;THE COSMODERNITY PARADIGMAN EMERGING PERSPECTIVE FOR THE GLOBAL CITIZENSHIP EDUCATION PROPOSED BY UNESCO;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
JAVIER COLLADO RUANO;ROBERTO LEON INACIO PONCZEK;2014;THE COSMODERNITY PARADIGMAN EMERGING PERSPECTIVE FOR THE GLOBAL CITIZENSHIP EDUCATION PROPOSED BY UNESCO;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
MARCIA FIGUEREDO D SOUZA;MARCIA FIGUEREDO D SOUZA;2014;THE DARK SIDE OF POWER THE DARK TRIAD ANALYSIS IN DECISION-MAKING;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
JAVIER COLLADO RUANO;JAVIER COLLADO RUANO;2014;THE FEMININE CONDITION FROM HOMO SAPIENS IN THE PREHISTORIC ERA TO THE HOMO CONSCIENCIATUS IN THE COSMODERNITY;ARTIGO EM JORNAL OU REVISTA;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
JAVIER COLLADO RUANO;JAVIER COLLADO RUANO;2014;THE INTERNET OF EVERYTHING AND THE CASE OF BARCELONA SMART CITY PROPOSED BY CISCO NETWORKING ACADEMY;ARTIGO EM JORNAL OU REVISTA;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
Delnyze Dyanne Alves Fagundes;FELIX MARCIAL DIAZ RODRIGUEZ;2014;TRANSTORNO DE DÉFICIT DE ATENÇÃO E HIPERATIVIDADEO QUE SABEM OS PROFESSORES?;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Sem Categoria
Delnyze Dyanne Alves Fagundes;Terezinha Camargo Magalhes;2014;TRANSTORNO DE DÉFICIT DE ATENÇÃO E HIPERATIVIDADEO QUE SABEM OS PROFESSORES?;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Sem Categoria
FELIX MARCIAL DIAZ RODRIGUEZ;Terezinha Camargo Magalhes;2014;TRANSTORNO DE DÉFICIT DE ATENÇÃO E HIPERATIVIDADEO QUE SABEM OS PROFESSORES?;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Sem Categoria
Bruno Leonardo Santos Menezes;Marcio Nakayama Miura;2014;UM MODELO DE LOCALIZAÇÃO BASEADO NA METODOLOGIA AHP PARA FORNECEDORES DE AUTOPEÇAS DA CADEIA AUTOMOTIVA DO ESTADO DA BAHIA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Sem Categoria
Bruno Leonardo Santos Menezes;RENELSON RIBEIRO SAMPAIO;2014;UM MODELO DE LOCALIZAÇÃO BASEADO NA METODOLOGIA AHP PARA FORNECEDORES DE AUTOPEÇAS DA CADEIA AUTOMOTIVA DO ESTADO DA BAHIA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Sem Categoria
Bruno Leonardo Santos Menezes;Valter de Senna;2014;UM MODELO DE LOCALIZAÇÃO BASEADO NA METODOLOGIA AHP PARA FORNECEDORES DE AUTOPEÇAS DA CADEIA AUTOMOTIVA DO ESTADO DA BAHIA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Sem Categoria
Marcio Nakayama Miura;RENELSON RIBEIRO SAMPAIO;2014;UM MODELO DE LOCALIZAÇÃO BASEADO NA METODOLOGIA AHP PARA FORNECEDORES DE AUTOPEÇAS DA CADEIA AUTOMOTIVA DO ESTADO DA BAHIA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Sem Categoria
Marcio Nakayama Miura;Valter de Senna;2014;UM MODELO DE LOCALIZAÇÃO BASEADO NA METODOLOGIA AHP PARA FORNECEDORES DE AUTOPEÇAS DA CADEIA AUTOMOTIVA DO ESTADO DA BAHIA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Sem Categoria
RENELSON RIBEIRO SAMPAIO;Valter de Senna;2014;UM MODELO DE LOCALIZAÇÃO BASEADO NA METODOLOGIA AHP PARA FORNECEDORES DE AUTOPEÇAS DA CADEIA AUTOMOTIVA DO ESTADO DA BAHIA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Sem Categoria
RENELSON RIBEIRO SAMPAIO;RENELSON RIBEIRO SAMPAIO;2014;UM MODELO DE ROTEIRIZAÇÃO PARA RONDAS ESCOLARES PREVENTIVAS DA GUARDA MUNICIPAL;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
JOSE CARLOS OLIVEIRA DE JESUS;JOSE LUIS MICHINEL MACHADO;2014;UM MODELO PARA DESENHAR CANAIS DE DIFUSÃO DO CONHECIMENTO ENTRE COMUNIDADES CIENTÍFICAS E AMPLIADAS UMA PERSPECTIVA DISCURSIVA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Participante Externo
JOSE CARLOS OLIVEIRA DE JESUS;MARCOS VIANA BOMFIM;2014;UM MODELO PARA DESENHAR CANAIS DE DIFUSÃO DO CONHECIMENTO ENTRE COMUNIDADES CIENTÍFICAS E AMPLIADAS UMA PERSPECTIVA DISCURSIVA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Participante Externo
JOSE CARLOS OLIVEIRA DE JESUS;PATRICIA PUGLIESE SCHIPER;2014;UM MODELO PARA DESENHAR CANAIS DE DIFUSÃO DO CONHECIMENTO ENTRE COMUNIDADES CIENTÍFICAS E AMPLIADAS UMA PERSPECTIVA DISCURSIVA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Participante Externo
JOSE LUIS MICHINEL MACHADO;MARCOS VIANA BOMFIM;2014;UM MODELO PARA DESENHAR CANAIS DE DIFUSÃO DO CONHECIMENTO ENTRE COMUNIDADES CIENTÍFICAS E AMPLIADAS UMA PERSPECTIVA DISCURSIVA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Participante Externo
JOSE LUIS MICHINEL MACHADO;PATRICIA PUGLIESE SCHIPER;2014;UM MODELO PARA DESENHAR CANAIS DE DIFUSÃO DO CONHECIMENTO ENTRE COMUNIDADES CIENTÍFICAS E AMPLIADAS UMA PERSPECTIVA DISCURSIVA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Participante Externo
MARCOS VIANA BOMFIM;PATRICIA PUGLIESE SCHIPER;2014;UM MODELO PARA DESENHAR CANAIS DE DIFUSÃO DO CONHECIMENTO ENTRE COMUNIDADES CIENTÍFICAS E AMPLIADAS UMA PERSPECTIVA DISCURSIVA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Participante Externo
JOSE CLAUDIO ROCHA;JOSE CLAUDIO ROCHA;2014;UM OLHAR SOBRE A LEI 9.795/99 QUE DISPÕE SOBRE A EDUCAÇÃO AMBIENTAL E INSTITUI A POLÍTICA NACIONAL DE EDUCAÇÃO AMBIENTAL;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
RONALDO PEDREIRA SILVA;RONALDO PEDREIRA SILVA;2014;UM PASSO PARA LEGISLAR O INCONTROLÁVEL;ARTIGO EM JORNAL OU REVISTA;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
ANA MARIA FERREIRA MENEZES;Manoel Justiniano Melo da Fonseca;2014;UMA ANÁLISE DA OFERTA DE BANDA LARGA NA BAHIA NO CONTEXTO DO SETOR DE TELECOMUNICAÇÕES BRASILEIRO;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
JOSEMAR RODRIGUES DE SOUZA;JOSEMAR RODRIGUES DE SOUZA;2014;UMA APLICAÇÃO WEB PARA AUXILIAR NA ANÁLISE DE DESEMPENHO DE CLUSTER DE COMPUTADORES COM MEMÓRIA DISTRIBUÍDA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
