No;Ano;Título da Produção;Nome do Autor;Subtipo da Produção;Linha de Pesquisa;Categoria
1084;2015;ENSINO DE EQUAÇÕES DIFERENCIAIS ORDINÁRIAS BASEADO NO MÉTODO PBL PROJECT/PROBLEM-BASED LEARING) INTEGRADO A MODELAGEM COMPUTACIONAL COM A SIMULAÇÃO;RENELSON RIBEIRO SAMPAIO;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
891;2015;ESCOLA E COMUNIDADES DE PRÁTICA POR UMA PROPOSTA DIALÉTICA E DILÓGICA NA COMUNIDADE DO BEIRU SALVADOR-BA;FRANCISCA DE PAULA S DA SILVA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
958;2015;ESCOLA E COMUNIDADES DE PRÁTICA POR UMA PROPOSTA DIALÉTICA E DILÓGICA NA COMUNIDADE DO BEIRU SALVADOR-BA;IVANA CAROLINA ALVES DA SILVA SOUZA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
877;2015;ESTÉTICA DA LIBERTAÇÃO FILOSOFIA AFRICANO-BRASILEIRA E LATINO-AMERICANA - A PRODUÇÃO DE SENTIDO;EDUARDO DAVID DE OLIVEIRA;LIVRO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
907;2015;ESTUDOS DE POLÍTICAS DE INFORMAÇÃO COMUNICAÇÕES E CONHECIMENTO. IN I SEMINÁRIO DE PESQUISA EM ARQUIVOLOGIA;GILLIAN LEANDRO DE QUEIROGA LIMA;TRABALHO EM ANAIS;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
1094;2015;ETNOCURRÍCULO / ETNOAPRENDIZAGENS;ROBERTO SIDNEI ALVES MACEDO;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
1095;2015;ETNOGRAFIA CRÍTICO-IMPLICADA E FORMAÇÃO DE PROFESSORES;ROBERTO SIDNEI ALVES MACEDO;ARTIGO EM JORNAL OU REVISTA;;Docente
1012;2015;EVOLUINDO O PROJETO DE ROBÔS PARA LIGA DE FUTEBOL VERY SMALL SIZE SOCCER;JOSEMAR RODRIGUES DE SOUZA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
920;2015;EXPECTATIVAS REFLEXIVAS E AFETIVIDADE NA DIFUSÃO DOS SISTEMAS DE PRODUÇÃO AGRÍCOLA;GUSTAVO BITTENCOURT MACHADO;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
981;2015;EXTENSÃO O PATINHO FEIO DA ACADEMIA;JOSE CLAUDIO ROCHA;LIVRO;;Docente
803;2015;EXTENSÃO UNIVERSITÁRIA DA UNEB E A EXPERIÊNCIA DO PROJETO VIVÊNCIAS ATUAÇÃO SOCIOCULTURAL EM COMUNIDADES;ADRIANA DOS SANTOS MARMORI;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
1009;2015;EXTENSÃO UNIVERSITÁRIA DA UNEB E A EXPERIÊNCIA DO PROJETO VIVÊNCIAS ATUAÇÃO SOCIOCULTURAL EM COMUNIDADES;JOSE WELLINGTON MARINHO DE ARAGAO;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
988;2015;EYETRACKING - EQUIPAMENTO PARA MONITORAR O MOVIMENTO DOS OLHOS COMO MEIO DE DETECÇÃO DE ANOMALIAS;JOSE GARCIA VIVAS MIRANDA;PATENTE;;Docente
1024;2015;FILOSOFIA AFRICANA COMO SOBREVIVÊNCIA;LUIS CARLOS FERREIRA DOS SANTOS;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
808;2015;FILOSOFIA E LIBERTAÇÃO HOMENAGEM AOS OITENTA ANOS DE ENRIQUE DUSSEL;ALECIO DONIZETE DA SILVA;LIVRO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
857;2015;FINIS ERGO REIPUBLICAE REVERA LIBERTAS EST SOBRE A FINALIDADE DO ESTADO;CLAUDIA SILVA DE SANTANA;LIVRO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
1002;2015;FOBIOSOFÍA CREADA EN LA ESCUELA ESTABLECIDA EN LA SOCIEDAD Y SUFRIDA EN LA HUMANIDAD;JOSE MARIA BARROSO TRISTAN;ARTIGO EM JORNAL OU REVISTA;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
1033;2015;FRACTAL ANALISYS OF TANDEM REPEATS PROTEIN;MARCELO ALBANO MORET SIMOES GONCALVES;TRABALHO EM ANAIS;;Docente
966;2015;FRACTAL ASPECTS IN;MARCELO ALBANO MORET SIMOES GONCALVES;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
1035;2015;FRACTAL ASPECTS IN O2 ENRICHED COMBUSTION;MARCELO ALBANO MORET SIMOES GONCALVES;TRABALHO EM ANAIS;;Docente
971;2015;GÊNERO/SEXUALIDADE/DIVERSIDADE SEXUAL NO ÂMBITO DA EDUCAÇÃO INFANTIL;AMANAIARA CONCEICAO DE SANTANA MIRANDA;ARTIGO EM PERIÓDICO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
908;2015;GESTÃO DE DOCUMENTOS APRENDIZAGEM E INOVAÇÃO ORGANIZACIONAL EM HOSPITAIS;GILLIAN LEANDRO DE QUEIROGA LIMA;TRABALHO EM ANAIS;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
826;2015;GESTÃO E DIFUSÃO DO CONHECIMENTO VIA MEDIAÇÃO TECNOLÓGICA CONTRIBUIÇÕES DAS EXPERIÊNCIAS EM AMBIENTES VIRTUAIS DE APRENDIZAGEM;ANA CRISTINA DE MENDONCA SANTOS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
835;2015;GESTÃO E DIFUSÃO DO CONHECIMENTO VIA MEDIAÇÃO TECNOLÓGICA CONTRIBUIÇÕES DAS EXPERIÊNCIAS EM AMBIENTES VIRTUAIS DE APRENDIZAGEM;ANA MARIA FERREIRA MENEZES;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
1052;2015;GESTÃO E DIFUSÃO DO CONHECIMENTO VIA MEDIAÇÃO TECNOLÓGICA CONTRIBUIÇÕES DAS EXPERIÊNCIAS EM AMBIENTES VIRTUAIS DE APRENDIZAGEM;MARIA DE FATIMA HENRIQUE CAMPOS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
827;2015;GESTÃO E DIFUSÃO DO CONHECIMENTO VIA MEDIAÇÃO TECNOLOGICA CONTRIBUIÇÕES DAS EXPERIÊNCIAS EM AMBIENTES VIRTUAIS DE APRENDIZAGENS;ANA CRISTINA DE MENDONCA SANTOS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
836;2015;GESTÃO E DIFUSÃO DO CONHECIMENTO VIA MEDIAÇÃO TECNOLOGICA CONTRIBUIÇÕES DAS EXPERIÊNCIAS EM AMBIENTES VIRTUAIS DE APRENDIZAGENS;ANA MARIA FERREIRA MENEZES;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
1053;2015;GESTÃO E DIFUSÃO DO CONHECIMENTO VIA MEDIAÇÃO TECNOLOGICA CONTRIBUIÇÕES DAS EXPERIÊNCIAS EM AMBIENTES VIRTUAIS DE APRENDIZAGENS;MARIA DE FATIMA HENRIQUE CAMPOS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
1104;2015;GINGA DE MULHER LUTA PELA AUTONOMIA NA RODA;ROSANGELA COSTA ARAUJO;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
1110;2015;GINGA DE MULHER LUTA PELA AUTONOMIA NA RODA;SARA ABREU DA MATA MACHADO;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
894;2015;GOVERNADOR SUGIRO O VIADUTO MESTRE DIDI;GILDECI DE OLIVEIRA LEITE;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
1054;2015;IDENTIDADE E DIFERENÇA NAS HISTORIAS EM QUADRINHOS CONSTRUÇÃO DO DISCURSO MULTICULTURAL;MARIA DE FATIMA HENRIQUE CAMPOS;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
973;2015;IDENTIDADE E REPRESENTAÇÃO DE NOVOS GRUPOS SOCIAIS NAS HISTORIAS EM;MARIA DE FATIMA HENRIQUE CAMPOS;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
895;2015;IEMANJÁ NEGRA;GILDECI DE OLIVEIRA LEITE;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
896;2015;IEMANJÁ NEGRA;GILDECI DE OLIVEIRA LEITE;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
972;2015;IMAGES ET FRONTIÈRES ÉPHÉMÈRES;JOAQUIM ANTONIO RODRIGUES VIANA NETO;LIVRO;;Docente
975;2015;IMPLICAÇÃO AUTORIZAÇÃO E STANDARDIZAÇÃO CURRICULAR A FORMAÇÃO DE PROFESSORES COMO RE-EXISTÊNCIA;ROBERTO SIDNEI ALVES MACEDO;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
979;2015;IMPORTÂNCIA DA TEORIA DE REDES PARA A CABOTAGEM MARÍTIMA NO BRASIL (IMPORTANCE OF NETWORK THEORY FOR BRAZIL?S MARITIME CABOTAGE);HERNANE BORGES DE BARROS PEREIRA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
930;2015;INCIDÊNCIA FIDELIDADE APLICADA A REDE SEMÂNTICA DE TÍTULOS;HERNANE BORGES DE BARROS PEREIRA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
989;2015;INCIDÊNCIA FIDELIDADE APLICADA A REDE SEMÂNTICA DE TÍTULOS;JOSE GARCIA VIVAS MIRANDA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
1061;2015;INCIDÊNCIA FIDELIDADE APLICADA A REDE SEMÂNTICA DE TÍTULOS;MARTA LIGIA POMIM VALENTIM;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Participante Externo
829;2015;INFÂNCIAS CRIANÇAS E CULTURAS A GINGA DA (DES) CONSTRUÇÃO NA RODA DA SOCIEDADE;ANA LUCIA SOARES DA CONCEICAO ARAUJO;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
820;2015;INFLUÊNCIA DA FORMAÇÃO NAS PRÁTICAS DESENVOLVIDAS PELOS CIRURGIÕES-DENTISTAS NO SUS;ANA AUREA ALECIO DE OLIVEIRA RODRIGUES;TRABALHO EM ANAIS;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
860;2015;INFOCANÇÃO EM GILBERTO GIL;CLAUDIA SISAN SILVA DE SANTANA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Sem Categoria
931;2015;INFOCANÇÃO EM GILBERTO GIL;HERNANE BORGES DE BARROS PEREIRA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
1125;2015;INFOCANÇÃO EM GILBERTO GIL;TRAZIBULO HENRIQUE PARDO CASAS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
863;2015;INOVAÇÃO DE FORMAÇÃO ACADÊMICA;CLAUDIO REYNALDO BARBOSA DE SOUZA;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Participante Externo
1065;2015;INOVAÇÃO DE FORMAÇÃO ACADÊMICA;NUBIA MOURA RIBEIRO;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
804;2015;INSTITUCIONALIZAÇÃO DA EAD NA UNEB UMA PERSPECTIVA DA GESTÃO;ADRIANA DOS SANTOS MARMORI;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
837;2015;INSTITUCIONALIZAÇÃO DA EAD NA UNEB UMA PERSPECTIVA DA GESTÃO;ANA MARIA FERREIRA MENEZES;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
1056;2015;INSTITUCIONALIZAÇÃO DA EAD NA UNEB UMA PERSPECTIVA DA GESTÃO;MARIA DE FATIMA HENRIQUE CAMPOS;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
806;2015;INTERATIVIDADE E RELAÇÕES COM O SABER UM OLHAR À LUZ DA ANÁLISE DE REDES SOCIAIS;ALBA BENEMERITA ALVES VILELA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Participante Externo
832;2015;INTERATIVIDADE E RELAÇÕES COM O SABER UM OLHAR À LUZ DA ANÁLISE DE REDES SOCIAIS;ANA MARÍA CASNATI;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Sem Categoria
856;2015;INTERATIVIDADE E RELAÇÕES COM O SABER UM OLHAR À LUZ DA ANÁLISE DE REDES SOCIAIS;CLAUDIA RIBEIRO SANTOS LOPES;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Sem Categoria
869;2015;INTERATIVIDADE E RELAÇÕES COM O SABER UM OLHAR À LUZ DA ANÁLISE DE REDES SOCIAIS;DANTE AUGUSTO GALEFFI;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
932;2015;INTERATIVIDADE E RELAÇÕES COM O SABER UM OLHAR À LUZ DA ANÁLISE DE REDES SOCIAIS;HERNANE BORGES DE BARROS PEREIRA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
1123;2015;INTERATIVIDADE E RELAÇÕES COM O SABER UM OLHAR À LUZ DA ANÁLISE DE REDES SOCIAIS;TERESINHA FROES BURNHAM;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
1003;2015;INTERVIEW WITH PETER MCLAREN;JOSE MARIA BARROSO TRISTAN;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
866;2015;INTRODUÇÃO AO ESTUDO SOBRE O EXERCÍCIO DO PODER E PROCESSO DECISÓRIO DE MULHERES NEGRAS QUE OCUPAM CARGOS DE LIDERANÇA EM INSTITUIÇÕES PRIVADAS DE ENSINO SUPERIOR;DAIANA DAMASCENO DOS SANTOS;TRABALHO EM ANAIS;;Participante Externo
1105;2015;INTRODUÇÃO AO ESTUDO SOBRE O EXERCÍCIO DO PODER E PROCESSO DECISÓRIO DE MULHERES NEGRAS QUE OCUPAM CARGOS DE LIDERANÇA EM INSTITUIÇÕES PRIVADAS DE ENSINO SUPERIOR;ROSANGELA COSTA ARAUJO;TRABALHO EM ANAIS;;Docente
838;2015;INVESTIMENTOS DIRETOS ESTRANGEIROS NO BRASIL UMA ANÁLISE DO PROCESSO DE CONCESSÃO DOS SERVIÇOS PÚBLICOS NO PERÍODO DE 2007 A 2013;ANA MARIA FERREIRA MENEZES;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
1106;2015;JOGO DE MULEEKE NA CAPOEIRA ANGOLA EDUCAÇÃO PARA A DIVERSIDADE;ROSANGELA COSTA ARAUJO;LIVRO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
1111;2015;JOGO DE MULEEKE NA CAPOEIRA ANGOLA EDUCAÇÃO PARA A DIVERSIDADE;SARA ABREU DA MATA MACHADO;LIVRO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
809;2015;JOGO RPG ROLE PLAYING GAME DIGITAL PARA O ENSINO DE HISTÓRIA UMA PROPOSTA PEDAGÓGICA SOBRE O TRÁFICO DE ESCRAVIZADOS;ALFREDO EURICO RODRIGUES MATTA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
897;2015;JORGE AMADO E JAIME SODRÉ;GILDECI DE OLIVEIRA LEITE;ARTIGO EM JORNAL OU REVISTA;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
898;2015;JURACI TAVARES E SEU UMBILICAL;GILDECI DE OLIVEIRA LEITE;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
850;2015;KNOWLEDGE DIFFUSION AND TRANSFERINGIA A RESEARCH CHAIN PATHS RETENTION AND VELOCITY INFLUENCES;AUGUSTO CESAR NORONHA RODRIGUES GALEAO;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
889;2015;KNOWLEDGE DIFFUSION AND TRANSFERINGIA A RESEARCH CHAIN PATHS RETENTION AND VELOCITY INFLUENCES;FLAVIO PIETROBOM COSTA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Sem Categoria
1025;2015;KNOWLEDGE DIFFUSION AND TRANSFERINGIA A RESEARCH CHAIN PATHS RETENTION AND VELOCITY INFLUENCES;LUIZ BEVILACQUA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Participante Externo
985;2015;KNOWLEDGE ORGANIZATION IN PERSPECTIVE OF DYNAMIC MODEL OF CONCEPTUAL ANALYSIS;JOSE GARCIA VIVAS MIRANDA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
987;2015;LA DIMENSIÓN INDÍGENA DEL SALVAJE EUROPEO;CARLOS BENITEZ TRINIDAD;ARTIGO EM PERIÓDICO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
962;2015;LA HUELLA ECOLÓGICA Y SOCIAL UN DESAFÍO PARA LA CIUDADANÍA MUNDIAL;JAVIER COLLADO RUANO;ARTIGO EM JORNAL OU REVISTA;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
990;2015;LAS TRANSFORMACIONES DIAGRAMÁTICAS IMÁGENES Y FRONTERAS EFÍMERAS;JOAQUIM ANTONIO RODRIGUES VIANA NETO;ARTIGO EM PERIÓDICO;;Docente
963;2015;LETTERS FROM THE FUTURE FOR THE GENERATION OF 2015 WATER AND SUSTAINABLE DEVELOPMENT;JAVIER COLLADO RUANO;ARTIGO EM JORNAL OU REVISTA;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
1036;2015;LONG-RANGE CORRELATIONS OF THE WIND VELOCITY;MARCELO ALBANO MORET SIMOES GONCALVES;TRABALHO EM ANAIS;;Docente
1005;2015;LOS CIEN MUNDOS DE LORIS MALAGUZZI;JOSE MARIA BARROSO TRISTAN;ARTIGO EM JORNAL OU REVISTA;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
1006;2015;LOS EDUCADORES TAMBIÉN PODEMOS;JOSE MARIA BARROSO TRISTAN;ARTIGO EM JORNAL OU REVISTA;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
964;2015;LOS OBJETIVOS DE DESARROLLO SOSTENIBLE DE 2030 UNA TIERRA MÁS ALLÁ DE LAS FRONTERAS PARA NUESTRA JUVENTUD PLANETARIA;JAVIER COLLADO RUANO;ARTIGO EM JORNAL OU REVISTA;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
991;2015;MASCULINIDADES EM CORPOS FEMININOS UMA ARTICULAÇÃO ENTRE PESQUISA E EXTENSÃO NO ESTADO DA BAHIA;SUELY ALDIR MESSEDER;ARTIGO EM PERIÓDICO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
921;2015;MEIO AMBIENTE E HISTÓRIA AGRÁRIA - AS FASES DE ACUMULAÇÃO DO CAPITAL E OS MOVIMENTOS SOCIAIS DA REFORMA AGRÁRIA NO EXTREMO SUL DA BAHIA BRASIL.;GUSTAVO BITTENCOURT MACHADO;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
922;2015;MEIO AMBIENTE E HISTÓRIA AGRÁRIA - AS FASES DE ACUMULAÇÃO DO CAPITAL E OS MOVIMENTOS SOCIAIS DA REFORMA AGRÁRIA NO EXTREMO SUL DA BAHIA BRASIL. ISBN 978-3-639-84836-6;GUSTAVO BITTENCOURT MACHADO;LIVRO;;Docente
992;2015;MINERANDO CIÊNCIA E TECNOLOGIA NO MAR DAS CANÇÕES DE GILBERTO GIL;CLAUDIA SILVA DE SANTANA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
993;2015;MINERANDO CIÊNCIA E TECNOLOGIA NO MAR DAS CANÇÕES DE GILBERTO GIL;HERNANE BORGES DE BARROS PEREIRA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
994;2015;MINERANDO CIÊNCIA E TECNOLOGIA NO MAR DAS CANÇÕES DE GILBERTO GIL;HERNANE BORGES DE BARROS PEREIRA;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
998;2015;MINERANDO CIÊNCIA E TECNOLOGIA NO MAR DAS CANÇÕES DE GILBERTO GIL;MARCELO ALBANO MORET SIMOES GONCALVES;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
1000;2015;MINERANDO CIÊNCIA E TECNOLOGIA NO MAR DAS CANÇÕES DE GILBERTO GIL;MARCOS GRILO ROSA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
1017;2015;MINERANDO CIÊNCIA E TECNOLOGIA NO MAR DAS CANÇÕES DE GILBERTO GIL;PATRICIA NICOLAU MAGRIS;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
1020;2015;MINERANDO CIÊNCIA E TECNOLOGIA NO MAR DAS CANÇÕES DE GILBERTO GIL;TRAZIBULO HENRIQUE PARDO CASAS;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
1038;2015;MODELAGEM DE CURVAS PARA ANÁLISE DE SISTEMAS BINÁRIOS DE RAIOS-X;MARCELO ALBANO MORET SIMOES GONCALVES;TRABALHO EM ANAIS;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
1013;2015;MÓDULO COOPERATIVO DE DEFESA PARA UM TIME DE FUTEBOL DE AGENTES HUMANOIDES AUTÔNOMOS.;JOSEMAR RODRIGUES DE SOUZA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
1022;2015;MOTIF-SYNCHRONIZATION A NEW METHOD FOR ANALYSIS OF DYNAMIC BRAIN NETWORKS WITH EEG;JOSE GARCIA VIVAS MIRANDA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
974;2015;MUCEM ET LES PLIS DE LA MER INTÉRIEURE;JOAQUIM ANTONIO RODRIGUES VIANA NETO;LIVRO;;Docente
1034;2015;MULTIFUNCTIONALITY OF FAMILY FARMER AND POLICIES TO OVERCOME THE EXTREME POVERTY IN THE BRAZILIAN SEMIARID;GUSTAVO BITTENCOURT MACHADO;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
959;2015;MUSEUS VIRTUAIS DESVELANDO ESPAÇOS EDUCATIVOS NA WEB;IVANA CAROLINA ALVES DA SILVA SOUZA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
